Latitude,Longitude,Date,MODIS_Tile,MOD15A2H_061_Line_Y_500m,MOD15A2H_061_Sample_X_500m,MOD15A2H_061_Lai_500m,MOD15A2H_061_FparLai_QC,MOD15A2H_061_FparExtra_QC,MOD15A2H_061_FparLai_QC_bitmask,MOD15A2H_061_FparLai_QC_MODLAND,MOD15A2H_061_FparLai_QC_MODLAND_Description,MOD15A2H_061_FparLai_QC_Sensor,MOD15A2H_061_FparLai_QC_Sensor_Description,MOD15A2H_061_FparLai_QC_DeadDetector,MOD15A2H_061_FparLai_QC_DeadDetector_Description,MOD15A2H_061_FparLai_QC_CloudState,MOD15A2H_061_FparLai_QC_CloudState_Description,MOD15A2H_061_FparLai_QC_SCF_QC,MOD15A2H_061_FparLai_QC_SCF_QC_Description,MOD15A2H_061_FparExtra_QC_bitmask,MOD15A2H_061_FparExtra_QC_LandSea_Pass-Thru,MOD15A2H_061_FparExtra_QC_LandSea_Pass-Thru_Description,MOD15A2H_061_FparExtra_QC_Snow_Ice,MOD15A2H_061_FparExtra_QC_Snow_Ice_Description,MOD15A2H_061_FparExtra_QC_Aerosol,MOD15A2H_061_FparExtra_QC_Aerosol_Description,MOD15A2H_061_FparExtra_QC_Cirrus,MOD15A2H_061_FparExtra_QC_Cirrus_Description,MOD15A2H_061_FparExtra_QC_Internal_CloudMask,MOD15A2H_061_FparExtra_QC_Internal_CloudMask_Description,MOD15A2H_061_FparExtra_QC_Cloud_Shadow,MOD15A2H_061_FparExtra_QC_Cloud_Shadow_Description,MOD15A2H_061_FparExtra_QC_SCF_Biome_Mask,MOD15A2H_061_FparExtra_QC_SCF_Biome_Mask_Description
-21.2333333333333,-49.35,2016-07-03,h13v11,296.0,960.0,0.8,0.0,128.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b10000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
-21.2333333333333,-49.35,2016-07-11,h13v11,296.0,960.0,0.9,0.0,128.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b10000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
-21.2333333333333,-49.35,2016-07-19,h13v11,296.0,960.0,1.0,0.0,128.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b10000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
-21.2333333333333,-49.35,2016-07-27,h13v11,296.0,960.0,1.0,0.0,128.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b10000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
-21.2333333333333,-49.35,2016-08-04,h13v11,296.0,960.0,1.0,0.0,128.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b10000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
-21.2333333333333,-49.35,2016-08-12,h13v11,296.0,960.0,1.0,0.0,129.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b10000001,0b01,"1 SHORE AggrQC (3,5) values {000, 010, 100}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
-21.2333333333333,-49.35,2016-08-20,h13v11,296.0,960.0,1.0,0.0,128.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b10000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
-21.2333333333333,-49.35,2016-08-28,h13v11,296.0,960.0,1.0,0.0,128.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b10000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
-21.2333333333333,-49.35,2016-09-05,h13v11,296.0,960.0,0.6,8.0,136.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)",0b10001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
-21.2333333333333,-49.35,2016-09-13,h13v11,296.0,960.0,0.8,0.0,136.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b10001000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b1,Average or high aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
-21.2333333333333,-49.35,2016-09-21,h13v11,296.0,960.0,0.6,0.0,128.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)",0b10000000,0b00,"0 LAND AggrQC (3,5) values {001}",0b0,No snow/ice detected,0b0,No or low atmospheric aerosol levels detected,0b0,No cirrus detected,0b0,No clouds,0b0,No cloud shadow detected,0b1,"Biome in interval <1,4>"
